country_name,country_code,gdp
Lao PDR,LAO,15724383783
Lebanon,LBN,
Liberia,LBR,4001047150
Libya,LBY,45752336036
St. Lucia,LCA,2065027556
Latin America & Caribbean,LCN,6.24662E+12
Least developed countries: UN classification,LDC,1.41676E+12
Low income,LIC,5.21634E+11
Liechtenstein,LIE,
Sri Lanka,LKA,74403578363
Lower middle income,LMC,8.10965E+12
Low & middle income,LMY,3.86877E+13
Lesotho,LSO,2553459763
Late-demographic dividend,LTE,2.80788E+13
Lithuania,LTU,70334299008
Luxembourg,LUX,82274812251
Latvia,LVA,41153912663
"Macao SAR, China",MAC,21979475561
St. Martin (French part),MAF,
Morocco,MAR,1.34182E+11
Monaco,MCO,
Moldova,MDA,14420947884
Madagascar,MDG,14954967604
Maldives,MDV,6189865408
Middle East & North Africa,MEA,4.41442E+12
Mexico,MEX,1.41419E+12
Marshall Islands,MHL,279667900
Middle income,MIC,3.81643E+13
North Macedonia,MKD,13563132057
Mali,MLI,18827176532
Malta,MLT,17765270015
Myanmar,MMR,59364362541
Middle East & North Africa (excluding high income),MNA,1.67699E+12
Montenegro,MNE,6095978868
Mongolia,MNG,16810883361
Northern Mariana Islands,MNP,
Mozambique,MOZ,17851491428
Mauritania,MRT,10375460680
Mauritius,MUS,12898307089
Malawi,MWI,13164667627
Malaysia,MYS,4.06306E+11
North America,NAC,2.76101E+13
Namibia,NAM,12607436976
New Caledonia,NCL,
Niger,NER,13969605583
Nigeria,NGA,4.77386E+11
Nicaragua,NIC,15671583878
Netherlands,NLD,9.91115E+11
Norway,NOR,5.79267E+11
Nepal,NPL,40828247302
Nauru,NRU,150922211
New Zealand,NZL,2.47234E+11
OECD members,OED,5.95965E+13
Oman,OMN,1.14667E+11
Other small states,OSS,5.29871E+11
Pakistan,PAK,3.76533E+11
Panama,PAN,76522511781
Peru,PER,2.42632E+11
Philippines,PHL,4.04284E+11
Palau,PLW,
Papua New Guinea,PNG,30633444295
Poland,POL,6.88177E+11
Pre-demographic dividend,PRE,1.61232E+12
Puerto Rico,PRI,1.13435E+11
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,2.51945E+11
Paraguay,PRY,41722295362
West Bank and Gaza,PSE,19111900000
Pacific island small states,PSS,10226024920
Post-demographic dividend,PST,5.60135E+13
French Polynesia,PYF,
Qatar,QAT,2.37296E+11
Romania,ROU,3.01262E+11
Russian Federation,RUS,2.24042E+12
Rwanda,RWA,13312796765
South Asia,SAS,4.36163E+12
Saudi Arabia,SAU,1.10815E+12
Sudan,SDN,51662241775
Senegal,SEN,27684430244
Singapore,SGP,4.66789E+11
Solomon Islands,SLB,1595710784
Sierra Leone,SLE,3970343852
El Salvador,SLV,32488720000
San Marino,SMR,
Somalia,SOM,8126105600
Serbia,SRB,63501748652
Sub-Saharan Africa (excluding high income),SSA,2.04576E+12
South Sudan,SSD,
Sub-Saharan Africa,SSF,2.04735E+12
Small states,SST,6.33047E+11
Sao Tome and Principe,STP,546680341.6
Suriname,SUR,3620655116
Slovak Republic,SVK,1.15469E+11
Slovenia,SVN,62117768015
Sweden,SWE,5.85939E+11
Eswatini,SWZ,4854167638
Sint Maarten (Dutch part),SXM,1571564246
Seychelles,SYC,1588406479
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1138808881
Chad,TCD,12704149842
East Asia & Pacific (IDA & IBRD countries),TEA,2.11629E+13
Europe & Central Asia (IDA & IBRD countries),TEC,5.1851E+12
Togo,TGO,8126439481
Thailand,THA,4.95341E+11
Tajikistan,TJK,10492123388
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.94554E+12
Timor-Leste,TLS,3163324631
Middle East & North Africa (IDA & IBRD countries),TMN,1.65789E+12
Tonga,TON,
South Asia (IDA & IBRD),TSA,4.36163E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.04735E+12
Trinidad and Tobago,TTO,27899082337
Tunisia,TUN,46664948952
Turkiye,TUR,9.05988E+11
Tuvalu,TUV,60349391.1
Tanzania,TZA,75709289056
Uganda,UGA,45559202049
Ukraine,UKR,1.60503E+11
Upper middle income,UMC,3.00553E+13
Uruguay,URY,71177146197
United States,USA,2.54627E+13
Uzbekistan,UZB,80391853885
St. Vincent and the Grenadines,VCT,948558503.1
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,4.08802E+11
Vanuatu,VUT,983582864.6
World,WLD,1.00562E+14
Samoa,WSM,832421565.4
Kosovo,XKX,9429156202
"Yemen, Rep.",YEM,
South Africa,ZAF,4.0587E+11
Zambia,ZMB,29784454056
Zimbabwe,ZWE,20678055598
